Juego,Sesion,id_usuario,num_periodo,id_tipo,id_grupo,punto_ideal,se_postula,num_votos, num_votos2, balance_ini,balance
R,1,1,1,P,533,20,1,26,0,140,129
R,1,1,2,P,541,80,1,45,0,129,149
R,1,1,3,P,546,30,1,76,0,149,169
R,1,1,1,R,552,30,0,0,0,140,135
R,1,1,2,R,562,80,1,51,0,135,155
R,1,1,3,R,570,20,0,0,0,155,154
R,1,1,4,R,574,80,1,45,0,154,144
R,1,1,5,R,579,20,0,0,0,144,143
R,1,1,6,R,590,30,0,0,0,143,138
R,1,1,7,R,595,80,1,45,0,138,128
R,1,1,8,R,605,80,1,46,0,128,118
R,1,1,9,R,611,80,0,0,0,118,113
R,1,1,10,R,619,80,1,46,0,113,133
R,1,1,11,R,624,30,0,0,0,133,128
R,1,1,12,R,633,30,0,0,0,128,123
R,1,1,13,R,635,30,1,30,0,123,113
R,1,1,14,R,645,30,1,30,0,113,103
R,1,1,15,R,650,30,1,55,0,103,123
R,1,1,16,R,662,-1,0,0,0,123,123
R,1,1,17,R,668,80,1,50,0,123,112
R,1,1,18,R,672,80,0,0,0,112,106
R,1,1,19,R,680,80,0,0,0,106,101
R,1,1,20,R,690,-1,0,0,0,101,101
R,1,1,21,R,697,-1,0,0,0,101,101
R,1,1,22,R,700,20,1,26,0,101,90
R,1,1,23,R,706,80,1,46,0,90,110
R,1,1,24,R,717,20,0,0,0,110,109
R,1,1,25,R,723,20,1,26,0,109,98
R,1,1,26,R,728,30,1,30,0,98,88
R,1,1,27,R,737,20,0,0,0,88,87
R,1,1,28,R,743,20,0,0,0,87,86
R,1,1,29,R,750,80,1,101,0,86,106
R,1,1,30,R,756,30,0,0,0,106,101
R,1,2,1,P,532,20,1,25,0,140,129
R,1,2,2,P,539,20,1,26,0,129,118
R,1,2,3,P,545,80,1,51,0,118,138
R,1,2,1,R,554,20,0,0,0,140,139
R,1,2,2,R,561,80,1,45,0,139,129
R,1,2,3,R,565,30,1,31,0,129,119
R,1,2,4,R,574,20,0,0,0,119,118
R,1,2,5,R,579,80,1,45,0,118,108
R,1,2,6,R,591,80,1,101,0,108,128
R,1,2,7,R,597,80,1,45,0,128,148
R,1,2,8,R,603,80,0,0,0,148,143
R,1,2,9,R,612,30,1,56,0,143,163
R,1,2,10,R,616,20,0,0,0,163,162
R,1,2,11,R,626,20,0,0,0,162,161
R,1,2,12,R,629,30,1,56,0,161,181
R,1,2,13,R,637,80,0,0,0,181,176
R,1,2,14,R,646,80,1,46,0,176,196
R,1,2,15,R,651,80,1,46,0,196,186
R,1,2,16,R,659,30,1,30,0,186,176
R,1,2,17,R,665,30,1,31,0,176,166
R,1,2,18,R,674,80,1,46,0,166,156
R,1,2,19,R,682,80,1,45,0,156,176
R,1,2,20,R,685,30,1,56,0,176,196
R,1,2,21,R,691,20,1,26,0,196,185
R,1,2,22,R,699,20,1,25,0,185,174
R,1,2,23,R,710,80,1,45,0,174,194
R,1,2,24,R,713,80,1,46,0,194,214
R,1,2,25,R,720,80,1,45,0,214,234
R,1,2,26,R,729,30,1,56,0,234,254
R,1,2,27,R,735,20,1,26,0,254,243
R,1,2,28,R,741,80,1,45,0,243,233
R,1,2,29,R,752,30,1,30,0,233,223
R,1,2,30,R,759,80,1,46,0,223,243
R,1,3,1,P,533,30,1,29,0,140,130
R,1,3,2,P,542,30,1,30,0,130,120
R,1,3,3,P,545,30,0,0,0,120,115
R,1,3,1,R,556,30,0,0,0,140,135
R,1,3,2,R,563,20,1,25,0,135,124
R,1,3,3,R,567,80,1,45,0,124,144
R,1,3,4,R,575,30,1,30,0,144,134
R,1,3,5,R,581,30,1,29,0,134,124
R,1,3,6,R,589,80,1,50,0,124,113
R,1,3,7,R,598,80,1,45,0,113,103
R,1,3,8,R,600,30,1,30,0,103,93
R,1,3,9,R,613,-1,0,0,0,93,93
R,1,3,10,R,615,80,1,46,0,93,83
R,1,3,11,R,622,80,1,45,0,83,103
R,1,3,12,R,630,30,1,30,0,103,93
R,1,3,13,R,637,30,1,76,0,93,113
R,1,3,14,R,643,80,1,46,0,113,133
