Juego;Sesion;id_usuario;num_periodo;id_tipo;id_grupo;punto_ideal;se_postula;num_votos; num_votos2;balance_ini;balance
A;1;1;1;P;167;70;0;0;0;140;138
A;1;1;2;P;179;70;1;50;0;138;129
A;1;1;3;P;184;70;1;51;0;129;149
A;1;1;1;R;190;70;1;51;0;140;160
A;1;1;2;R;198;50;0;0;0;160;158
A;1;1;3;R;207;50;0;0;0;158;156
A;1;1;4;R;210;30;1;50;0;156;147
A;1;1;5;R;217;70;0;0;0;147;143
A;1;1;6;R;223;30;1;51;0;143;163
A;1;1;7;R;231;50;1;21;0;163;156
A;1;1;8;R;242;70;1;50;0;156;147
A;1;1;9;R;244;50;1;20;0;147;140
A;1;1;10;R;252;30;1;41;0;140;131
A;1;1;11;R;261;30;1;51;0;131;151
A;1;1;12;R;266;70;1;50;0;151;142
A;1;1;13;R;272;70;1;50;0;142;133
A;1;1;14;R;280;50;1;20;0;133;126
A;1;1;15;R;290;50;1;19;0;126;119
A;1;1;16;R;293;80;0;0;0;119;114
A;1;1;17;R;304;30;1;40;0;114;134
A;1;1;18;R;312;30;1;40;0;134;127
A;1;1;19;R;316;80;1;36;0;127;117
A;1;1;20;R;325;80;0;0;0;117;112
A;1;1;21;R;328;50;1;101;0;112;132
A;1;1;22;R;336;80;0;0;0;132;129
A;1;1;23;R;342;80;0;0;0;129;89
A;1;1;24;R;353;30;1;40;0;89;82
A;1;1;25;R;359;80;0;0;0;82;79
A;1;1;26;R;364;50;1;60;0;79;99
A;1;1;27;R;371;30;1;56;0;99;119
A;1;1;28;R;379;50;1;25;0;119;112
A;1;1;29;R;384;80;0;0;0;112;109
A;1;1;30;R;392;80;0;0;0;109;106
A;1;2;1;P;172;70;1;40;0;140;133
A;1;2;2;P;176;70;1;51;0;133;153
A;1;2;3;P;185;50;1;60;0;153;173
A;1;2;1;R;193;70;1;50;0;140;131
A;1;2;2;R;200;70;1;50;0;131;122
A;1;2;3;R;202;50;1;61;0;122;142
A;1;2;4;R;212;30;0;0;0;142;138
A;1;2;5;R;216;70;1;40;0;138;129
A;1;2;6;R;227;50;1;20;0;129;122
A;1;2;7;R;230;30;1;101;0;122;142
A;1;2;8;R;237;70;1;41;0;142;135
A;1;2;9;R;249;30;1;40;0;135;155
A;1;2;10;R;252;50;1;19;0;155;148
A;1;2;11;R;259;50;1;19;0;148;141
A;1;2;12;R;267;70;1;50;0;141;132
A;1;2;13;R;274;30;1;50;0;132;123
A;1;2;14;R;281;50;1;61;0;123;143
A;1;2;15;R;286;30;1;40;0;143;136
A;1;2;16;R;293;30;1;101;0;136;156
A;1;2;17;R;301;30;1;41;0;156;176
A;1;2;18;R;308;30;1;56;0;176;196
A;1;2;19;R;315;80;0;0;0;196;193
A;1;2;20;R;326;50;1;24;0;193;186
A;1;2;21;R;330;50;1;25;0;186;179
A;1;2;22;R;337;30;1;41;0;179;199
A;1;2;23;R;347;80;0;0;0;199;196
A;1;2;24;R;350;50;1;25;0;196;189
A;1;2;25;R;356;50;1;26;0;189;182
A;1;2;26;R;368;30;1;41;0;182;175
A;1;2;27;R;372;80;0;0;0;175;170
A;1;2;28;R;380;80;1;36;0;170;160
A;1;2;29;R;386;80;0;0;0;160;157
A;1;2;30;R;394;30;1;41;0;157;150
A;1;3;1;P;168;70;1;40;0;140;133
A;1;3;2;P;174;30;1;40;0;133;124
A;1;3;3;P;182;30;1;41;0;124;115
A;1;3;1;R;191;30;1;51;0;140;160
A;1;3;2;R;199;70;1;50;0;160;151
A;1;3;3;R;206;50;0;0;0;151;149
A;1;3;4;R;211;30;1;41;0;149;169
A;1;3;5;R;220;70;1;40;0;169;160
A;1;3;6;R;225;30;1;50;0;160;151
A;1;3;7;R;231;70;1;40;0;151;142
A;1;3;8;R;242;50;0;0;0;142;140
A;1;3;9;R;247;70;1;41;0;140;160
A;1;3;10;R;253;70;1;51;0;160;180
A;1;3;11;R;258;50;0;0;0;180;140
A;1;3;12;R;267;50;0;0;0;140;138
A;1;3;13;R;275;70;1;51;0;138;158
A;1;3;14;R;282;50;0;0;0;158;156
A;1;3;15;R;288;50;0;0;0;156;154
